NAME,ETHNICITY,NATIONALITY,GENDER,DATE_OF_BIRTH,SOCIAL_IMPACT,WEALTH,IMG_FILE,DESCRIPTION,TAGS
Steven Tyler,W,,,,,,,,
Theo Von,W,,,,,,,,
Howard Bloom,J,,,,,,,,
Michael Pollan,J,,,,,,,,
Donnie Vincent,W,,,,,,,,
Robert Schoch,W,,,,,,,,
Candace Owens,B,,,,,,,,
Erik Griffin,H,,,,,,,,
Jesse Itzler,J,,,,,,,,
Ryan Sickler,W,,,,,,,,
Adam Frank,J,,,,,,,,
Kyle Dunnigan,W,,,,,,,,
Ted Nugent,W,,,,,,,,
Tony Rock,B,,,,,,,,
Candice Thompson,X,,,,,,,,
Jeff Garlin,J,,,,,,,,
Dr. Debra Soh,A,,,,,,,,
Michael Scott Moore,W,,,,,,,,
Felipe Esparza,H,,,,,,,,
John Joseph,W,,,,,,,,
Macaulay Culkin,W,,,,,,,,
Bryan Richards,W,,,,,,,,
Chuck Palahniuk,W,,,,,,,,
Jerrod Carmichael,B,,,,,,,,
Jamar Neighbors,B,,,,,,,,
Valentine Thomas,W,,,,,,,,
Banachek,W,,,,,,,,
Mikhaila Peterson,W,,,,,,,,
Diamond Dallas Page,W,,,,,,,,
Larry Sharpe,X,,,,,,,,
Mareko Maumasi,W,,,,,,,,
Elon Musk,W,,,,,,,,
Tulsi Gabbard,X,,,,,,,,
Nick Yarris,W,,,,,,,,
Morgan Fallon,W,,,,,,,,
Geoffrey Miller,J,,,,,,,,
Vinnie Paz,W,,,,,,,,
Dr. Joel Kahn,J,,,,,,,,
Layne Norton,W,,,,,,,,
,,,,,,,,,
Nikki Glaser,W,,,,,,,,
Nick Kroll,J,,,,,,,,
Kelly Slater,W,,,,,,,,
Marques Brownlee,B,,,,,,,,
Lex Fridman,J,,,,,,,,
James Lindsay,W,,,,,,,,
,,,,,,,,,
Dale Earnhardt Jr.,W,,,,,,,,
Derren Brown,W,,,,,,,,
Sean Anders,W,,,,,,,,
Ross Edgley,W,,,,,,,,
William von Hippel,J,,,,,,,,
Fred Morin,W,,,,,,,,
David McMillan,W,,,,,,,,
Jake “The Snake” Roberts,W,,,,,,,,
Dr. Andrew Weil,J,,,,,,,,
Lawrence Lessig,W,,,,,,,,
Sir Roger Penrose,J,,,,,,,,
Nimesh Patel,I,,,,,,,,
Jonathan Haidt,J,,,,,,,,
Mike Tyson,B,,,,,,,,
Bari Weiss,J,,,,,,,,
Richard Rawlings,W,,,,,,,,
Killer Mike,B,,,,,,,,
Matt Braunger,W,,,,,,,,
David Sinclair,W,,,,,,,,
Jack Dorsey,W,,,,,,,,
Travis Barker,W,,,,,,,,
Forest Galante,W,,,,,,,,
Tim Pool,X,,,,,,,,
Rafinha Bastos,J,,,,,,,,
Colin O’Brady,W,,,,,,,,
Andrew Yang,A,,,,,,,,
Alex Berenson,J,,,,,,,,
Dr. Michael Hart,J,,,,,,,,
Bill Ottman,W,,,,,,,,
Donnell Rawlings,B,,,,,,,,
Tim Dillon,W,,,,,,,,
Dave Foley,W,,,,,,,,
Paul Greenberg,W,,,,,,,,
Ioan Grillo,W,,,,,,,,
Dr. Phil,W,,,,,,,,
Steve Sweeney,W,,,,,,,,
Vijaya Gadde,I,,,,,,,,
David Wallace-Wells,J,,,,,,,,
Lennox Lewis,B,,,,,,,,
Dr. Peter Hotez,J,,,,,,,,
Pat McNamara,W,,,,,,,,
Renee DiResta,W,,,,,,,,
Timothy Denevi,W,,,,,,,,
Andrew Schulz,W,,,,,,,,
Ben Anderson,W,,,,,,,,
Stephen Guyenet,W,,,,,,,,
Lenny Clarke,W,,,,,,,,
Lindsey Fitzharris,W,,,,,,,,
Ron Funches,B,,,,,,,,
Nicholas Christakis,W,,,,,,,,
Luis J. Gomez,J,,,,,,,,
Gabrielle Reece,W,,,,,,,,
Kevin Hart,B,,,,,,,,
Jessimae Peluso,W,,,,,,,,
Michael Yo,X,,,,,,,,
Adam Conover,W,,,,,,,,
Anthony Jeselnik,W,,,,,,,,
Rich Benoit,B,,,,,,,,
Jon Reep,W,,,,,,,,
Eddie Izzard,W,,,,,,,,
Jamie Metzl,J,,,,,,,,
Joe List,W,,,,,,,,
Annie Jacobsen,W,,,,,,,,
Michael Malice,J,,,,,,,,
Laird Hamilton,W,,,,,,,,
Ed Calderon,H,,,,,,,,
JD,B,,,,,,,,
John Witherspoon,B,,,,,,,,
Wiz Khalifa,B,,,,,,,,
Naval Ravikant,I,,,,,,,,
David Pakman,J,,,,,,,,
Charlamagne tha God,B,,,,,,,,
Bob Lazar,W,,,,,,,,
Jeremy Corbell,W,,,,,,,,
Hotep Jesus,B,,,,,,,,
Robert Oberst,W,,,,,,,,
Andy Ngo,A,,,,,,,,
